NOME,IDADE,PORTE,VACINADO,CASTRADO,Se dá bem com outros animais,Adoção especial?,Energia,Breve descrição,Raça,Fotos
Dumbo,2 anos,Médio,sim,não,só cães,sim,Média,"Cadeirante, energético e carinhoso",SRD,ok
Elza,4 anos,Médio,sim,sim,cães e gatos,não,Alta,"Caramelo linda e super carinhosa, tem muita energia para gastar! Melhor amiga do Max",SRD,ok
Max,3 anos ,Médio,sim,sim,só cães,não,Alta,"Estopa lindo e super carinhoso, tem muita energia para gastar! Melhor amigo da Elza",SRD,ok
Bóris,5 anos,Médio,sim,sim,cães e gatos,sim,Média,Fofo e carinhoso,SRD,ok
Kali,3 anos ,Médio,sim,sim,só cães,não,Média,Pretinha carinhosa,SRD,ok
Alfredo,6 anos,Médio,sim,sim,"não, precisa ser filho único",não,Média,Pretinho carinhoso,SRD,ok
Isis,3 anos ,Grande,sim,sim,"não, precisa ser filho único",não,Média,"Caramelo queimado, linda e carinhosa",SRD,ok
Toddy,2 anos,Médio,sim,sim,cães e gatos,não,Alta,"Pretinho lindo cheio de energia, irmão do Nescau",SRD,ok
Nescau,2 anos,Médio,sim,sim,cães e gatos,não,Alta,"Pretinho lindo cheio de energia, irmão do Toddy",SRD,ok
Zezé,7 anos,Médio,sim,sim,só cães,não,Alta,"Peludinho lindo e muito carionhoso, em tratamento de sequelas da sarna",SRD,ok
Kira, 4 anos ,Médio,sim,não,"não, precisa ser filho único",não,Média,"Peludinha linda e carinhosa, mãe da Kiara",Chow chow,ok
Kiara,2 anos,Médio,sim,não,"não, precisa ser filho único",não,Média,"Peludinha linda e carinhosa, filha da Kira",Chow chow,ok
Pandora, 1 ano,Grande,sim,não,só cães,não,Alta,"Pretinha linda e carinhosa, mãe da ninhada Harry Potter",SRD,ok
Mia, 1 ano,Médio,sim,não,cães e gatos,não,Média,"Mistura com pit, muito carinhosa, mãe da ninhada Rebelde",SRD,ok
Thor - Sumiço, 2 anos,Médio,sim,sim,só cães,não,Alta,Pretinho lindo cheio de energia,SRD,ok
Berenice,7 anos,Médio,não,sim,"não, precisa ser filho único",não,Baixa,Sossegada e carinhosa,SRD,ok
Pantera,2 anos,Médio,não,não,cães e gatos,não,Alta,Muito energética e carinhosa,SRD,ok
Lassie,2 anos,Pequeno,não,não,cães e gatos,não,Média,"Loirinha carinhosa, mãe da ninhada Flinstones",SRD,ok
Billy,  2 anos,Pequeno,não,não,só cães,não,Média,Pai da ninhada Flinstones,SRD,ok
Pretinho,7 meses,Médio,não,não,cães e gatos,não,Alta,"Filhote, encontrado com a Lassie e o Billy",SRD,ok
José Ricardo ,3 anos ,Médio,não,não,cães e gatos,sim,Alta,"Cego, muito esperto e amoroso",SRD,ok
Canelinha,8 anos,Médio,sim,sim,cães e gatos,sim,Média,"Cadeirante devido a sequelas da cinomose, muito carinhosa e brincalhona",SRD,ok